ProgressNavigationButtonNode,2,49,25,10,14
QrCode,2,309,251,10,48
RMIntro,31,6424,4499,307,1618
RadialStatusNode,9,1762,1484,0,278
RaiseToListen,4,279,222,0,57
Reachability,2,423,282,48,93
ReactionSelectionNode,6,1636,1363,10,263
RingBuffer,2,261,142,87,32
SSignalKit/SSignalKit,54,3486,2806,93,587
SSignalKit/SwiftSignalKit,26,2760,2365,4,391
SaveToCameraRoll,1,158,149,0,9
ScreenCaptureDetection,1,126,111,0,15
SearchBarNode,2,857,727,0,130
SearchPeerMembers,1,69,64,0,5
SearchUI,4,484,407,0,77
SegmentedControlNode,1,422,367,0,55
SelectablePeerNode,1,262,222,0,40
SemanticStatusNode,1,561,473,0,88
SettingsUI,115,49808,43503,71,6234
ShareController,11,3578,3050,0,528
ShareItems,6,1482,1282,1,199
ShimmerEffect,1,200,161,0,39
SinglePhoneInputNode,1,172,145,0,27
SolidRoundedButtonNode,1,279,228,0,51
SpotlightSupport,0,0,0,0,0
StatisticsUI,5,1744,1481,0,263
StickerPackPreviewUI,7,2727,2294,4,429
StickerResources,1,568,479,6,83
StringPluralization,1,47,44,0,3
StringTransliteration,2,27,21,0,6
Stripe,67,6243,3812,1334,1097
Sunrise,2,498,286,124,88
Svg,4,3230,2768,77,385
SwipeToDismissGesture,1,111,93,0,18
SwitchNode,1,109,92,2,15
SyncCore,144,14335,12561,0,1774
TelegramAnimatedStickerNode,2,392,318,6,68
TelegramApi,12,38680,36768,10,1902
TelegramAudio,1,812,703,14,95
TelegramBaseController,7,1783,1514,0,269
TelegramCallsUI,17,4301,3665,4,632
TelegramCore,337,58761,52571,542,5648
TelegramIntents,1,206,189,0,17
TelegramNotices,1,628,527,0,101
TelegramPermissions,1,84,77,0,7
TelegramPermissionsUI,4,875,746,0,129
TelegramPresentationData,24,16123,14944,0,1179
TelegramStringFormatting,11,1529,1414,0,115
TelegramUI,803,130237,113757,999,15481
TelegramUIPreferences,25,2770,2404,10,356
TelegramUniversalVideoContent,16,3154,2631,19,504
TelegramUpdateUI,2,593,509,0,84
TelegramVoip,1,306,266,0,40
TemporaryCachedPeerDataManager,3,1422,1284,14,124
TextFormat,7,1498,1335,10,153
TextSelectionNode,1,527,458,0,69
TgVoip,735,154115,106102,28832,19181
TinyThumbnail,1,32,29,0,3
TonBinding,2,1379,1137,0,242
TooltipUI,1,446,379,0,67
TouchDownGesture,1,25,19,0,6
Tuples,1,61,49,0,12
UIKitRuntimeUtils,18,1704,1340,20,344
UndoUI,2,730,627,0,103
UrlEscaping,1,56,48,0,8
UrlHandling,1,487,470,0,17
UrlWhitelist,1,13,11,0,2
WalletCore,1,1583,1433,0,150
WalletUI,57,16701,14612,5,2084
WalletUrl,1,42,38,0,4
WallpaperResources,2,1417,1256,0,161
WatchBridge,6,2443,2129,26,288
WatchBridgeAudio,6,808,667,5,136
WatchCommon,108,7971,6062,12,1897
WebPBinding,3,165,117,1,47
WebSearchUI,13,3530,2984,4,542
WebUI,2,70,54,1,15
WebsiteType,2,37,19,10,8
WidgetItems,1,86,73,0,13
YuvConversion,2,111,91,0,20
ffmpeg,3962,1505362,1172366,163305,169691
libphonenumber,27,24555,19238,1994,3323
lottie-ios,278,16448,11912,1958,2578
openssl,3,414,350,3,61
rlottie,262,56111,39068,9417,7626
sqlcipher,8,238704,146671,76150,15883
ton,1229,422140,324085,45827,52228
webp,3,1070,450,473,147
